timestamp,,unit,cc_transactions_count,ip_transactions_count,ip_cr,instore_transactions_count,instore_traffic,instore_cr,instore_area,type
21,P04,3,68.16666667,13.06666667,0.190126403,714.9032258,1591.387097,0.45933266,1910,P
21,P05,4,67.03333333,9.433333333,0.142389706,836.1612903,1923.483871,0.442729906,3500,P
21,P06,5,63.73333333,11.86666667,0.18559801,957.9354839,2722.064516,0.362170542,3634,P
21,P07,6,51.66666667,10.06666667,0.188452903,656.0645161,1422.451613,0.469979594,1907,P
21,P08,8,65.46666667,14.2,0.215320339,1021.903226,2178.903226,0.483625337,5991,P
21,P09,9,119.5666667,27.63333333,0.224208592,1055.83871,2188.16129,0.487983049,4624,P
22,E01,10,30.96428571,2.928571429,0.097224668,239.8928571,660.3571429,0.36818189,800,E
22,E02,12,34.82142857,4.464285714,0.130308202,403.1785714,991.8571429,0.416648028,1375,E
22,E03,14,26.10714286,4.25,0.160427839,301.5357143,791.7857143,0.385176622,1507,E
22,E04,15,72.07142857,13.17857143,0.176368376,600.6785714,1387,0.440710692,2118,E
22,E05,16,14.82142857,2.642857143,0.200346144,220.1428571,574.1071429,0.387903097,1300,E
22,E06,17,35.28571429,4.5,0.131458675,428.7857143,1162.5,0.375172997,1658,E
22,E07,18,21.57142857,1.857142857,0.081436123,269.2857143,698.4285714,0.386966226,1291,E
22,E08,19,36,5.178571429,0.143392126,570.5,1791.607143,0.327977706,1740,E
22,E09,20,18.82142857,2.678571429,0.140824302,251.25,644.9642857,0.394577446,1194,E
22,E10,21,31.67857143,4.142857143,0.135533771,251.5714286,696.1428571,0.362037329,1194,E
22,E11,22,35.46428571,5.678571429,0.166657007,334.6071429,904.8928571,0.371612001,1580,E
22,E12,23,46.10714286,6.535714286,0.145076475,507.3214286,1188.714286,0.431739559,2096,E
22,E13,24,116.5,11.35714286,0.104968369,863.8571429,2482.607143,0.350060954,1555,E
22,E14,25,24.60714286,3.428571429,0.150258737,349.1785714,1047.892857,0.336602086,1465,E
22,E16,1,45.17857143,7.321428571,0.16135378,650.7142857,1503.25,0.440337016,3903,E
22,E17,7,43.78571429,6.214285714,0.141233861,528.3571429,1291.821429,0.417767025,1882,E
22,P01,11,73.28571429,10,0.140708781,788.2857143,2583.321429,0.319911188,2790,P
22,P02,13,62.5,10.60714286,0.1747774,618.75,1736.642857,0.366526253,1850,P
22,P03,2,50.35714286,8.535714286,0.170007138,778.3928571,1621.642857,0.490754473,5000,P
22,P04,3,62.89285714,11.85714286,0.192291288,737.8928571,1695.25,0.442805016,1910,P
22,P05,4,68.71428571,10.57142857,0.152492092,894.1428571,2057.392857,0.443964786,3500,P
22,P06,5,59.03571429,10.71428571,0.177577632,968.9285714,2807.75,0.353272123,3634,P
22,P07,6,49.14285714,8.607142857,0.173938886,669.4642857,1500.642857,0.455140557,1907,P
22,P08,8,63.10714286,12.67857143,0.204955003,1008.785714,2118.321429,0.49446964,5991,P
22,P09,9,117.75,25.5,0.21865544,1085.357143,2282.928571,0.479443836,4624,P
23,E01,10,31.35483871,3.774193548,0.121185002,229.9677419,668.6774194,0.348223233,800,E
23,E02,12,33.35483871,4.870967742,0.154157654,331.7096774,835.8064516,0.404910884,1375,E
23,E03,14,25.06451613,4.451612903,0.179979114,292.6774194,795.1612903,0.372975866,1507,E
23,E04,15,73.35483871,14.83870968,0.20338277,526.8064516,1228.806452,0.437199978,2118,E
23,E05,16,16.12903226,3.096774194,0.199868224,200.2580645,544.5806452,0.372911702,1300,E
23,E06,17,35.64516129,5.548387097,0.154702121,386.8064516,1062.354839,0.370691951,1658,E
23,E07,18,23.51612903,2.225806452,0.094185142,250,686.4516129,0.364414629,1291,E
23,E08,19,36.80645161,5.612903226,0.157058747,510.8064516,1653.645161,0.320971901,1740,E
23,E09,20,20.80645161,2.838709677,0.150931339,234.5483871,655.2258065,0.363019306,1194,E
23,E10,21,31.4516129,5.193548387,0.163707001,231.7419355,661.1612903,0.355012378,1194,E
23,E11,22,37.70967742,6.870967742,0.188213458,314.4516129,890.3870968,0.356405718,1580,E
23,E12,23,47.74193548,7.096774194,0.165773972,478.5483871,1188.548387,0.406290695,2096,E
