timestamp,,unit,cc_transactions_count,ip_transactions_count,ip_cr,instore_transactions_count,instore_traffic,instore_cr,introre_area,type,traffic_area_ratio,cc_transactions_instore_transactions_ratio,cc_transactions_traffic_ratio,cc_transactions_area_ratio,instore_transactions_area_ratio
4,E07,18,29.19354839,4.258064516,0.142304001,420.8387097,1131.677419,0.37388282,1291,E,0.87658979,0.069369922,0.025796705,0.022613128,0.325978861
4,E08,19,48.70967742,8.741935484,0.178407281,854.2903226,2363.258065,0.366244775,1740,E,1.35819429,0.057017709,0.020611239,0.027994067,0.49097145
4,E09,20,25.90322581,4.290322581,0.161152988,433.0645161,1091.225806,0.398939816,1194,E,0.913924461,0.05981378,0.023737732,0.021694494,0.3627006
4,E10,21,33.64516129,4.935483871,0.150137214,393.6129032,1017.516129,0.388168873,1194,E,0.852191063,0.085477791,0.033065973,0.028178527,0.329659048
4,E11,22,36.03225806,6.096774194,0.167707127,499.7419355,1281.806452,0.391430885,1580,E,0.811269906,0.07210173,0.028110529,0.022805227,0.316292364
4,E12,23,51.16129032,7.806451613,0.156408023,743,1614.322581,0.46262682,2096,E,0.770192071,0.068857726,0.031692111,0.024409013,0.354484733
4,E13,24,90.12903226,9.838709677,0.110876819,958.3870968,2396.064516,0.399946251,1555,E,1.540877502,0.09404241,0.037615445,0.057960792,0.616326107
4,E14,25,32.87096774,4.935483871,0.149383776,475.5806452,1332.387097,0.358682863,1465,E,0.909479247,0.069117547,0.024670734,0.022437521,0.324628427
5,E16,1,80.46666667,8.733333333,0.10954421,779.3666667,1655.9,0.465194835,3903,E,0.424263387,0.103246226,0.048593917,0.02061662,0.199684004
5,P03,2,73.4,7.466666667,0.104642464,957.4,1895.3,0.497976245,5000,P,0.37906,0.07666597,0.038727378,0.01468,0.19148
5,P04,3,125.4333333,15.23333333,0.124655216,901.8666667,1914.966667,0.479140719,1910,P,1.002600349,0.139081904,0.065501575,0.065671902,0.472181501
5,P05,4,113.2666667,11.83333333,0.104125356,998.8666667,2146.433333,0.460170867,3500,P,0.613266667,0.113395181,0.052769711,0.032361905,0.285390476
5,P06,5,96,9.7,0.101873269,1083.666667,2891.866667,0.372946035,3634,P,0.795780591,0.088588127,0.033196551,0.026417171,0.298202165
5,P07,6,98.26666667,12.5,0.130206909,795.9,1650.866667,0.490385909,1907,P,0.865687817,0.123466097,0.05952429,0.051529453,0.417357105
5,E17,7,79.43333333,8.133333333,0.104315863,616,1393.433333,0.440426142,1882,E,0.740400283,0.128950216,0.057005478,0.042206872,0.327311371
5,P08,8,108.8666667,12.26666667,0.111750762,1054.566667,2191.833333,0.49634071,5991,P,0.365854337,0.103233556,0.049669227,0.018171702,0.176025149
5,P09,9,186.3,23.1,0.124817776,1219.4,2425.266667,0.492911787,4624,P,0.524495386,0.152780056,0.076816295,0.040289792,0.263711073
5,E01,10,61.76666667,3.433333333,0.057043138,320.5,822.1333333,0.396114063,800,E,1.027666667,0.192719709,0.075129744,0.077208333,0.400625
5,P01,11,133.0666667,9.233333333,0.072607791,926.7,2287.7,0.405220017,2790,P,0.819964158,0.143591957,0.058166135,0.047694146,0.332150538
5,E02,12,63.66666667,5.033333333,0.077217941,435.8,1001.9,0.428507423,1375,E,0.728654545,0.146091479,0.063545929,0.04630303,0.316945455
5,P02,13,118.8666667,7.933333333,0.067298744,705.7666667,1726.933333,0.403721569,1850,P,0.933477477,0.168422047,0.068831069,0.064252252,0.381495495
5,E03,14,47.73333333,4.3,0.091300657,358.6,898.6333333,0.404756285,1507,E,0.596306127,0.133110244,0.053117697,0.031674408,0.237956204
5,E04,15,124.6,15.73333333,0.128788433,645.8333333,1351.733333,0.473441052,2118,E,0.63821215,0.192929032,0.092177944,0.058829084,0.304926031
5,E05,16,31.66666667,3.9,0.126692914,252.9,625.9333333,0.403492921,1300,E,0.481487179,0.125214182,0.050591117,0.024358974,0.194538462
5,E06,17,77.26666667,5.566666667,0.073175071,514.5,1245.733333,0.407574184,1658,E,0.751347004,0.150178167,0.062025045,0.046602332,0.310313631
5,E07,18,48.03333333,3.5,0.076209205,340.5,911.3,0.376441982,1291,E,0.705886909,0.141067058,0.052708585,0.0372063,0.263749032
5,E08,19,82.86666667,7.6,0.092585114,618.4333333,1657.133333,0.38369363,1740,E,0.952375479,0.133994502,0.050006035,0.047624521,0.355421456
5,E09,20,39.93333333,3.233333333,0.080848057,287.7,692.7,0.407457032,1194,E,0.580150754,0.138801993,0.057648814,0.033445003,0.240954774
5,E10,21,62.4,5.366666667,0.084694547,328.7333333,833,0.397128506,1194,E,0.697654941,0.189819509,0.074909964,0.052261307,0.27532105
5,E11,22,58.56666667,4.6,0.082855966,389.7666667,961.9666667,0.429426072,1580,E,0.608839662,0.15026084,0.06088222,0.037067511,0.246687764
5,E12,23,88.36666667,6.8,0.08049808,596.9666667,1287.666667,0.453555719,2096,E,0.614344784,0.148026132,0.068625421,0.042159669,0.284812341
5,E13,24,179.1333333,10.73333333,0.061623643,850.1,2131.333333,0.388402609,1555,E,1.370632369,0.210720307,0.084047545,0.115198285,0.546688103
5,E14,25,51.46666667,3.566666667,0.071236429,362.9,988.3666667,0.377502409,1465,E,0.674653015,0.14182052,0.052072443,0.03513083,0.247713311
6,E16,1,69.6,8.1,0.123194994,735.3225806,1634.483871,0.459935174,3903,E,0.418776293,0.094652336,0.04258225,0.017832437,0.188399329
6,P03,2,64.1,7.266666667,0.120715533,871.2258065,1795.387097,0.481753791,5000,P,0.359077419,0.073574496,0.035702607,0.01282,0.174245161
6,P04,3,108.2333333,14.73333333,0.145702486,811.3548387,1807.225806,0.46016443,1910,P,0.946191522,0.133398272,0.059889214,0.056666667,0.424793109
6,P05,4,97.36666667,10.96666667,0.121699027,897.6129032,1976.16129,0.481027975,3500,P,0.564617512,0.108472891,0.049270607,0.027819048,0.256460829
6,P06,5,78.5,9.833333333,0.141719805,1052.032258,2957.516129,0.360253869,3634,P,0.813845935,0.074617484,0.026542543,0.021601541,0.289497044
6,P07,6,75.23333333,9.333333333,0.137388336,729.8387097,1551.096774,0.477403687,1907,P,0.813370097,0.103082136,0.048503314,0.039451145,0.382715632
6,E17,7,63.96774194,6.838709677,0.1057529,589.8387097,1389.774194,0.437294873,1882,E,0.738456001,0.108449549,0.046027435,0.033989236,0.313410579
6,P08,8,91.2,11.46666667,0.139958554,1005.741935,2127.903226,0.47651102,5991,P,0.355183313,0.090679325,0.042859092,0.015222834,0.167875469
6,P09,9,157.3333333,21.16666667,0.14881179,1059.935484,2165.354839,0.481392765,4624,P,0.468286081,0.148436707,0.072659377,0.034025375,0.229224802
6,E01,10,43.7,2.4,0.060131089,273.9354839,740.9032258,0.374697938,800,E,0.926129032,0.159526613,0.058982062,0.054625,0.342419355
6,P01,11,100.6451613,7.935483871,0.08938304,817.4516129,2243.741935,0.366928722,2790,P,0.804208579,0.123120635,0.044855943,0.036073535,0.29299341
6,E02,12,48.96666667,4.366666667,0.096374061,388.4193548,917.6774194,0.430864832,1375,E,0.66740176,0.126066495,0.053359346,0.035612121,0.282486804
6,P02,13,96.09677419,7.483870968,0.081101807,621.6451613,1647.870968,0.406664923,1850,P,0.890741064,0.154584609,0.058315715,0.051944202,0.336024412
6,E03,14,41.53333333,3.233333333,0.089623128,347.1612903,904.8387097,0.391357418,1507,E,0.600423829,0.119636994,0.045901367,0.027560274,0.23036582
6,E04,15,95.26666667,13.93333333,0.155350196,545.4193548,1172.16129,0.4603438,2118,E,0.553428371,0.174666824,0.081274367,0.04497954,0.25751622
6,E05,16,24.16666667,3.266666667,0.142123583,234.5806452,607.6129032,0.379137442,1300,E,0.467394541,0.103020719,0.039773129,0.018589744,0.18044665
6,E06,17,58.4,4.966666667,0.089832607,472.2580645,1207.548387,0.386950476,1658,E,0.728316277,0.123661202,0.048362451,0.03522316,0.284835986
6,E07,18,44.1,3.8,0.098072215,288.7741935,835.8064516,0.348041803,1291,E,0.64741011,0.152714477,0.052763412,0.034159566,0.223682567
6,E08,19,68.26666667,6.666666667,0.109218424,637.5806452,1808.322581,0.385585284,1740,E,1.039265851,0.107071423,0.037751377,0.039233716,0.366425658
6,E09,20,30.8,3.066666667,0.125172436,268.1935484,667.5483871,0.39607648,1194,E,0.559085751,0.114842434,0.046138977,0.025795645,0.224617712
6,E10,21,49.4516129,3.741935484,0.079895195,260.7741935,704.9032258,0.371773903,1194,E,0.590371211,0.189633845,0.070153762,0.041416761,0.218403847
6,E11,22,45.32258065,4.322580645,0.101136115,350.8387097,960.6129032,0.368508748,1580,E,0.60798285,0.129183523,0.047180899,0.028685178,0.222049816
6,E12,23,68.48387097,7.096774194,0.102090314,543.9354839,1197.032258,0.444621394,2096,E,0.571103177,0.1259044,0.057211383,0.032673603,0.259511204
6,E13,24,138.4333333,9.266666667,0.075233263,779.1290323,2086.870968,0.364707005,1555,E,1.342039208,0.177677031,0.066335358,0.089024652,0.501047609
6,E14,25,44.6,4.033333333,0.091000516,344.0645161,1001.387097,0.338326638,1465,E,0.68354068,0.129626852,0.044538221,0.030443686,0.234856325
7,E16,1,51.48275862,8.034482759,0.148946062,674.3666667,1470.466667,0.468688315,3903,E,0.376752925,0.076342383,0.03501117,0.013190561,0.172781621
7,P03,2,47.17241379,7.931034483,0.170366165,870.6333333,1799.733333,0.495698522,5000,P,0.359946667,0.054181723,0.02621078,0.009434483,0.174126667
7,P04,3,79.17241379,15.55172414,0.196579536,789.4666667,1732.566667,0.468584636,1910,P,0.907102967,0.100285949,0.045696605,0.041451526,0.413333333
7,P05,4,67.82758621,10.86206897,0.166339048,854.3333333,1855.266667,0.470464494,3500,P,0.53007619,0.079392415,0.036559481,0.01937931,0.244095238
7,P06,5,55.5862069,10.79310345,0.195777098,1020.7,2933.333333,0.360838079,3634,P,0.807191341,0.054458908,0.018949843,0.015296149,0.280875069
7,P07,6,59.31034483,10.34482759,0.175376162,724.4,1551.766667,0.480167732,1907,P,0.813721377,0.081875131,0.038221175,0.031101387,0.37986366
7,E17,7,47.27586207,7.931034483,0.173560924,595.1,1374.766667,0.44820205,1882,E,0.730481757,0.079441879,0.034388281,0.025120012,0.316206164
7,P08,8,70.82758621,14.06896552,0.198125177,1000.633333,2081.266667,0.499559879,5991,P,0.347398876,0.070782757,0.034031,0.011822331,0.167022756
7,P09,9,111.8275862,29.10344828,0.265044367,997.5333333,1959.566667,0.51559245,4624,P,0.423781719,0.11210411,0.057067508,0.024184167,0.215729527
7,E01,10,34.10344828,3.517241379,0.105616189,282.5333333,761.8333333,0.376387887,800,E,0.952291667,0.120705928,0.044764973,0.04262931,0.353166667
7,P01,11,72.62068966,9.620689655,0.137994099,808.8,2323.266667,0.361261918,2790,P,0.832712067,0.089788192,0.031258009,0.026028921,0.289892473
7,E02,12,37.89655172,5.379310345,0.146719444,369.8,859.0333333,0.438079737,1375,E,0.624751515,0.102478507,0.044115345,0.027561129,0.268945455
7,P02,13,75.20689655,9.482758621,0.122040698,647.3333333,1766.4,0.373907655,1850,P,0.954810811,0.116179552,0.042576368,0.040652377,0.34990991
7,E03,14,28.86206897,4.172413793,0.161385323,366.4333333,950.2333333,0.392624741,1507,E,0.630546339,0.078764857,0.030373665,0.019152003,0.243154169
7,E04,15,70.13793103,14.13793103,0.202430568,562.1,1187.033333,0.485456518,2118,E,0.56045011,0.124778386,0.059086741,0.03311517,0.265391879
7,E05,16,23,4.482758621,0.190244054,259.7666667,668.2333333,0.399503774,1300,E,0.514025641,0.088540998,0.034419115,0.017692308,0.199820513
7,E06,17,43.82758621,5.172413793,0.120451396,451.0333333,1129.466667,0.406686894,1658,E,0.681222356,0.097171501,0.038803789,0.026434009,0.27203458
7,E07,18,27.89655172,3.689655172,0.140608977,314.9666667,912.9,0.349269296,1291,E,0.707126259,0.088569854,0.030558168,0.021608483,0.243971082
